po_number,product_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,unit_cost,total_cost,order_status,delay_days,rush_order,receiving_warehouse
PO-2025-00000,PROD-1071,SUP-22,2025-07-28,2025-08-12,2025-08-11,232,116,103.12,23923.84,Received,-1,1,WH03
PO-2026-00001,PROD-1195,SUP-22,2024-11-07,2024-11-24,2024-11-22,69,69,323.26,22304.94,Received,-2,1,WH04
PO-2024-00002,PROD-1108,SUP-12,2024-04-08,2024-05-07,2024-05-06,63,63,498.87,31428.81,Received,-1,1,WH04
PO-2026-00003,PROD-1043,SUP-15,2024-09-26,2024-11-05,2024-11-09,287,282,457.65,131345.55,Received,4,0,WH01
PO-2026-00004,PROD-1193,SUP-19,2025-07-17,2025-08-09,2025-08-10,191,191,218.33,41701.03,Received,1,1,WH01
PO-2024-00005,PROD-1118,SUP-20,2024-11-01,2024-11-24,2024-12-02,202,202,277.34,56022.67999999999,Received,8,1,WH04
PO-2024-00006,PROD-1005,SUP-15,2024-06-01,2024-06-06,2024-06-07,139,139,416.93,57953.270000000004,Received,1,0,WH03
PO-2024-00007,PROD-1123,SUP-22,2024-07-12,2024-07-19,2024-07-16,141,141,401.96,56676.36,Received,-3,0,WH04
PO-2026-00008,PROD-1048,SUP-13,2026-01-22,2026-02-03,2026-02-08,265,265,335.08,88796.2,Received,5,1,WH03
PO-2024-00009,PROD-1076,SUP-05,2025-12-27,2026-01-27,2026-01-30,218,218,312.93,68218.74,Received,3,1,WH04
PO-2024-00010,PROD-1138,SUP-01,2025-07-05,2025-07-20,2025-07-20,146,146,49.9,7285.4,Received,0,1,WH03
PO-2024-00011,PROD-1198,SUP-01,2026-01-03,2026-01-25,2026-02-02,228,228,116.63,26591.64,Received,8,0,WH02
PO-2026-00012,PROD-1107,SUP-02,2024-11-23,2024-12-24,2024-12-29,75,75,75.75,5681.25,Received,5,1,WH01
PO-2024-00013,PROD-1204,SUP-12,2024-10-17,2024-11-23,2024-12-02,63,63,236.03,14869.89,Received,9,0,WH01
PO-2026-00014,PROD-1009,SUP-18,2025-06-04,2025-06-13,2025-06-12,183,183,378.17,69205.11,Received,-1,0,WH04
PO-2026-00015,PROD-1053,SUP-16,2025-08-24,2025-09-07,2025-09-17,203,203,192.7,39118.1,Received,10,0,WH01
PO-2026-00016,PROD-1116,SUP-07,2025-08-09,2025-08-21,2025-08-24,245,245,266.41,65270.450000000004,Received,3,1,WH02
PO-2024-00017,PROD-1126,SUP-07,2024-09-05,2024-10-01,2024-10-11,257,257,200.61,51556.770000000004,Received,10,1,WH04
PO-2024-00018,PROD-1207,SUP-09,2025-08-12,2025-09-03,2025-09-07,70,43,374.36,26205.2,Received,4,1,WH04
PO-2024-00019,PROD-1046,SUP-07,2024-05-11,2024-06-14,2024-06-23,134,134,49.51,6634.34,Received,9,1,WH03
PO-2024-00020,PROD-1180,SUP-18,2024-02-26,2024-03-15,2024-03-22,147,147,91.05,13384.35,Received,7,0,WH02
PO-2025-00021,PROD-1099,SUP-13,2025-05-29,2025-06-16,2025-06-20,236,236,110.94,26181.84,Received,4,1,WH01
PO-2024-00022,PROD-1011,SUP-06,2024-06-01,2024-06-30,2024-07-08,272,272,105.55,28709.6,Received,8,0,WH02
PO-2025-00023,PROD-1056,SUP-10,2024-09-04,2024-10-14,2024-10-15,151,151,361.42,54574.420000000006,Received,1,1,WH03
PO-2024-00024,PROD-1006,SUP-20,2025-03-12,2025-03-28,2025-03-31,165,165,88.34,14576.1,Received,3,1,WH04
PO-2026-00025,PROD-1214,SUP-03,2025-05-15,2025-05-25,2025-05-31,177,177,154.24,27300.480000000003,Received,6,0,WH02
PO-2024-00026,PROD-1193,SUP-19,2024-07-25,2024-08-07,2024-08-06,191,191,218.33,41701.03,Received,-1,0,WH02
PO-2024-00027,PROD-1156,SUP-12,2024-10-22,2024-11-28,2024-12-06,146,146,441.55,64466.3,Received,8,0,WH02
PO-2024-00028,PROD-1181,SUP-16,2025-06-29,2025-07-21,2025-07-22,299,299,184.5,55165.5,Received,1,0,WH01
PO-2024-00029,PROD-1173,SUP-05,2025-12-14,2025-12-19,2025-12-24,215,215,154.07,33125.049999999996,Received,5,1,WH02
PO-2026-00030,PROD-1083,SUP-22,2025-12-17,2026-01-18,2026-01-18,107,107,163.52,17496.64,Received,0,1,WH04
PO-2025-00031,PROD-1074,SUP-06,2025-08-25,2025-09-06,2025-09-07,125,125,348.0,43500.0,Received,1,0,WH01
PO-2026-00032,PROD-1187,SUP-08,2025-11-16,2025-12-22,2025-12-29,261,261,318.89,83230.29,Received,7,0,WH01
PO-2026-00033,PROD-1217,SUP-16,2025-09-08,2025-09-13,2025-09-11,198,198,243.67,48246.659999999996,Received,-2,0,WH02
